"项目","内容","备注"
"镜像名","bdc2026:latest","统一按2026提交"
"当前镜像信息","e65006358d74 2.38GB","docker images bdc2026:latest"
"Docker打包文件","C:\Users\lycohana\Desktop\code\BDC\THU-BDC2026-solution\outputs\BDC2026.tar","docker save 导出的传统 Docker archive，未压缩"
"Docker打包文件大小","517.87 MB","小于10G"
"Docker打包文件MD5","DF66AC41EA17EB65D176794971FB08FC","提交校验"
"result.csv","C:\Users\lycohana\Desktop\code\BDC\THU-BDC2026-solution\outputs\result.csv","平台结果文件直接上传"
"result.csv MD5",,"结果文件校验"
"正式推理数据","app/model/input/train_hs300_latest.csv","非挂载目录，避免data/temp/output挂载覆盖"
"正式推理数据MD5","FC38FBFAD48473639DA19EB71C8593E4","数据文件校验"
"关键源码","readme.md; app/code/src/*.py; code/src/*.py; app/init.sh; app/train.sh; test.sh","已包含在镜像内"
"训练模型","app/model/exp-002-05_60_158+39/*","Transformer、LightGBM、scaler等已包含"
"Top5股票及权重","000977:0.2; 688256:0.2; 600547:0.2; 603019:0.2; 688041:0.2","总权重1.0"
"外部数据/预训练模型","无","readme.md中声明无需外部资源报备"
